"","tit","voto_IMDB","num_IMDB"
"531","Shrek Terzo ","6.1","246186"
"532","Mi fido di te ","6.6","554"
"533","Il velo dipinto ","7.5","84482"
"534","Diario di uno scandalo ","7.4","70058"
"535","Hannibal Lecter - Le origini del male ","6.2","95957"
"536","Notte prima degli esami - Oggi ","5.2","1788"
"537","The Covenant ","5.3","43786"
"538","Lettere da Iwo Jima ","7.9","144282"
"539","Perché te lo dice mamma ","5.6","35231"
"540","A Beautiful Mind ","8.2","746278"
"541","8 Mile ","7.1","222001"
"542","Spy Game ","7.1","132958"
"543","Death of a President - Morte di un presidente ",NA,NA
"544","Norbit ","4","61068"
"545","Scrivimi una canzone ","6.5","89680"
"546","Saturno contro ","6.7","3927"
"547","Correndo con le forbici in mano ","6.2","21113"
"548","Uno su due ","6.6","324"
"549","Il piacere e l'amore ","7.3","9616"
"550","Ho voglia di te ","4.3","1264"
"551","Saw III ","6.2","162897"
"552","Hermano ","7.2","20302"
"553","Guida per riconoscere i tuoi santi ","7","23692"
"554","Mr. Bean's Holiday ","6.4","103126"
"555","The Illusionist ","7.6","332075"
"556","Proprietà privata ",NA,NA
"557","Pirati dei Caraibi: Ai confini del Mondo ","7.1","543512"
"558","Asterix e i Vichinghi ","6","9540"
"559","I Simpson - Il film ","7.3","285939"
"560","Lettere dalla Sicilia ","6.6","5"
"561","In memoria di me ","6.4","386"
"562","Still Life ","5.6","931"
"563","L'amore giovane  ","6.2","2544"
"564","Rosso come il cielo ","7.8","1652"
"565","Lezioni di volo ","6.3","302"
"566","Shooting Silvio ","5.4","124"
"567","300 ","7.7","677688"
"568","Bordertown ","7.6","2757"
"569","Un ponte per Terabithia ","7.2","128105"
"570","Il 7 e l'8 ","6.4","1522"
"571","Il colore della libertà - Goodbye Bafana ",NA,NA
"572","Centochiodi ","6.4","674"
"573","La masseria delle allodole ","6.5","1938"
"574","Il lupo ",NA,NA
"575","Red Road ","6.8","11206"
"576","Frank Gehry creatore di sogni ","7.1","1451"
"577","Stay Alive ","5.1","28029"
"578","Maradona, la mano de Dios  ","5.7","594"
"579","Liscio ","6.6","53"
"580","Le vite degli altri ","8.4","312546"
"581","Them ","7.3","17479"
"582","Le avventure galanti del giovane Moliere ","7.3","5587"
"583","Il Topolino Marty e la Fabbrica di Perle ","5.2","641"
"584","Il favoloso mondo di Amélie ","8.3","634257"
"585","I segni del male ","5.7","40234"
"586","Sunshine ",NA,NA
"587","The Good Shepherd - L'ombra del potere ","6.7","93208"
"588","L'ultimo inquisitore ","6.9","27585"
"589","Last Minute Marocco ","5.2","216"
"590","Perfect Stranger ","5.7","41624"
"591","Number 23 ","6.4","181766"
"592","Gli innocenti ","6.8","2241"
"593","Non dire si' - L'amore sta per sorprenderti ","6.1","3463"
"594","Ghost Son ","4.5","693"
"595","7 km da Gerusalemme ","5.8","100"
"596","Quello che gli uomini non dicono ","7.4","676"
"597","Edmond ","6.3","10604"
"598","Mio fratello è figlio unico ","7.1","5657"
"599","Shooter ","7.6","24540"
"600","Tutte le donne della mia vita ","4.8","171"
"601","Svalvolati on the Road ","5.9","107815"
"602","Salvador - 26 anni contro ","7.4","2936"
"603","La vie en rose ","7.6","75836"
"604","The Bridge - Il ponte dei suicidi ","7.3","10306"
"605","Io, l'altro ","6.6","98"
"606","Harry Potter e l'Ordine della Fenice ","7.5","435027"
"607","The Bourne Ultimatum ","8","572383"
"608","Il mio paese ","6.3","253"
"609","Per uno solo dei miei due occhi ","7.5","197"
"610","I racconti di Terramare ","6.5","28052"
"611","Voce del verbo amore ","5.4","68"
"612","Epic Movie ","2.4","96551"
"613","Un'Impresa da Dio ","5.4","128057"
"614","Prey ","4.7","7152"
"615","Zodiac ","7.7","376031"
"616","Doppia ipotesi per un delitto ","5.8","3513"
"617","Breach - L'infiltrato ","7","55156"
"618","Notturno Bus ","6.8","662"
"619","Turistas ","6","201870"
"620","Hot Fuzz ","7.9","413431"
"621","Grindhouse - A prova di morte ","7","237800"
"622","Le Colline hanno gli occhi 2 ","5.1","55982"
"623","Le Ferie di Licu ","7","8"
"624","Breakfast on Pluto ","7.3","19322"
"625","Quattro minuti ","7.4","5770"
"626","Cronaca di una fuga ","7.2","3173"
"627","L'estate di mio fratello ","7","96"
"628","Gli Arcangeli ","7.3","32"
"629","L'uomo dell'anno ","6.2","30021"
"630","Le Verità negate ",NA,NA
"631","I Fantastici 4 e Silver Surfer ","5.6","234234"
"632","Hostel: Part II ","5.5","78867"
"633","La città proibita ",NA,NA
"634","Daratt ","6.9","687"
"635","Cardiofitness ","5.6","233"
"636","The Darwin Awards ","6","9357"
"637","U.S.A. vs John Lennon ","7.4","5078"
"638","Il punto rosso ","3.5","17"
"639","Il destino nel nome ","7.5","17887"
"640","Nome in Codice: Brutto Anatroccolo ","5.5","2240"
"641","The History Boys ","6.9","19186"
"642","Viaggio in India ","6.2","759"
"643","Presa mortale ","4.7","30298"
"644","Harsh Times - I giorni dell'odio ","6.9","59320"
"645","La canzone più triste del mondo ","7.2","5452"
