"","Generi","Anni","Valutazionemondo","Valutazioneitalia","q"
"2514","Noir",2018,963,203,5
"2515","Poliziesco",2018,2438,1717,2
"2516","Religioso",2018,1225,57,1
"2517","Sentimentale",2018,789,177,43
"2518","Storico",2018,1114,192,12
"2519","Thriller",2018,578,209,135
"2520","Western",2018,811,277,5
"2521","Animazione",2019,2028,2111,18
"2522","Avventura",2019,2177,2395,33
"2523","Azione",2019,1269,1434,35
"2524","Biografico",2019,2289,1501,9
"2525","Commedia",2019,1861,1854,30
"2526","Commedia drammatica",2019,2540,2375,1
"2527","Documentario",2019,2353,2400,3
"2528","Drammatico",2019,1660,1914,41
"2529","Family",2019,2103,2391,9
"2530","Fantascienza",2019,2195,2057,14
"2531","Fantasy",2019,720,2389,8
"2532","Guerra",2019,2471,2441,1
"2533","Horror",2019,1247,2066,16
"2534","Musicale",2019,2411,2376,3
"2535","Noir",2019,2415,2377,1
"2536","Sentimentale",2019,2405,2401,5
"2537","Thriller",2019,1394,1247,27
"2538","Western",2019,2518,2378,1
"2539","Animazione",2020,2333,2379,1
"2540","Avventura",2020,2343,2442,2
"2541","Azione",2020,2472,2380,1
"2542","Commedia",2020,2416,2381,1
"2543","Drammatico",2020,2435,2472,2
"2544","Family",2020,2395,2382,2
"2545","Fantasy",2020,2387,2383,1
"2546","Musicale",2020,2481,2384,1
