"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10"
"CSI ";"3.91";"2000";" Drammatico";" USA";" 45 Min";" CBS Paramount Network Television";" Conclusa";" Ted Danson, Elisabeth Shue, George Eads, Eric Szmanda, Jorja Fox, Robert David Hall, Wallace Langham, David Berman, Elisabeth Harnois";"                                            Gil Grissom è un uomo astuto, determinato e molto intelligente. E' grazie a queste qualità e alla sua incredibile dedizione - talmente esagerata da non avere una vita privata - che Gil e chi dopo di lui è riuscito a diventare il capitano della Scientifica di Las Vegas, la città del peccato per antonomasia. Le infinite follie e perversioni di questa metropoli danno alla Scientifica un nuovo caso da risolvere in pratica ogni notte."
"CSI: Miami ";"3.56";"2002";" Drammatico";" USA";" 45 Min";" CBS Television Studios";" Cancellata";" David Caruso, Emily Procter, Adam Rodriguez, Eva Larue Callahan, Jonathan Togo, Rex Linn, Omar Benson Miller, Eddie Cibrian, Khandi Alexander";"                                            Horatio Caine è un uomo preciso e altruista, qualità sicuramente non usuali in un agente della scientifica, soprattutto in una città come Miami. Lui, però, non potrebbe essere diversamente. Il crimine l’ha segnato in prima persona, e da quel giorno difficile si è sempre mostrato disponibile e cordiale nei confronti delle persone a lui vicine, a cominciare dai membri della sua squadra, con i quali risolvono i crimini più efferati."
"CSI: NY ";"3.6";"2004";" Drammatico";" USA";" 45 Min";" CBS Television Studios";" Cancellata";" Gary Sinise, Sela Ward, Carmine D. Giovinazzo, Anna Belknap, Eddie Cahill, Hill Harper, A.J. Buckley, Robert Joy, Melina Kanakaredes";"                                            In una città cosmopolita e fredda come New York, ogni giorno i crimini non si contano. La giustizia, però, può fare affidamento su una delle migliori squadre della scientifica del Paese, quella capitanata da Mac Taylor. Ad affiancarlo nelle indagini c’è Stella Bonasera, una donna tanto comprensiva quanto distaccata, e Danny Messer, un uomo testardo e proprio per questo motivo molto determinato."
"Castle ";"4.09";"2009";" Drammatico";" USA";" 42 Min";" ABC Studios";" Cancellata";" Nathan Fillion, Stana Katic, Seamus Dever, Jon Huertas, Molly C. Quinn, Tamala Jones, Susan Sullivan, Toks Olagundoye, Penny Johnson Jerald";"                                            Quando un assassino commette una serie di omicidi ispirandosi ai bestseller del famoso romanziere Richard Castle, quest'ultimo comincia a collaborare con la Polizia di New York nel tentativo di prevedere le mosse del criminale e aiutare la detective Kate Beckett a chiudere l'indagine. Dopo questa esperienza, Castle decide di ispirarsi a quest’ultima per il suo prossimo libro, e chiede così di potersi unire alla sua squadra in qualità di consulente."
"The Vampire Diaries ";"4.14";"2009";" Fantasy";" USA";" 45 Min";" Warner Bros. Television";" Conclusa";" Paul Wesley, Ian Somerhalder, Kat Graham, Candice Accola, Zach Roerig, Matthew Davis, Michael Malarkey, Michael Trevino, Nina Dobrev";"                                            Elena Gilbert è una delle studentesse più belle e popolari del liceo di Mystic Falls, sebbene lei e il fratello Jeremy stiano attraversando un momento difficile in seguito alla tragica morte dei genitori. Adottati dalla zia, i due cercano di tirare avanti. Dopo aver scoperto che l'amica Bonnie discende da una stirpe di streghe, Elena resta colpita dal fascino dall'ultimo arrivato al liceo, Stefan Salvatore, il quale nasconde uno spaventoso segreto: è un vampiro."
"Cold Case ";"3.4";"2003";" Drammatico";" USA";" 45 Min";" CBS Television Studios";" Cancellata";" Kathryn Morris, Danny Pino, John Finn, Jeremy Ratchford, Thom Barry, Tracie Thoms";"                                            Dopo aver dimostrato grandi capacità nella risoluzione di un crimine rimasto irrisolto per molti anni, la giovane detective della squadra omicidi di Philadelphia, Lilly Rush, accetta la proposta del suo capitano John Stillman di entrare nel team che ha l’incarico di trovare una soluzione a tutti quei casi diventati \"freddi\". Crimini spesso vecchi, cui nessuno è riuscito mai a dare una spiegazione, tantomeno trovare un colpevole."
"Brothers & Sisters ";"4";"2006";" Drammatico";" USA";" 45 Min";" ABC Studios";" Cancellata";" Sally Field, Calista Flockhart, Rachel Griffiths, Matthew Rhys, Dave Annable, Ron Rifkin, Patricia Wettig, Luke MacFarlane, Gilles Marini";"                                            La famiglia Walker non è molto diversa dalle altre famiglie: un padre, una madre, cinque fratelli così diversi tra loro eppure così incredibilmente legati gli uni agli altri. Una famiglia con le sue tradizioni, le sue regole, con i suoi scheletri nell'armadio. Proprio su questi segreti, e sulla possibilità di una loro rivelazione, s’intrecciano i rapporti tra Kitty, Justin, Sarah, Tommy e Kevin, i quali devono ancora imparare a conoscersi completamente."
"Lie to Me ";"3.96";"2009";" Drammatico";" USA";" 45 Min";" 20th Century Fox Television";" Cancellata";" Tim Roth, Kelli Williams, Monica Raymund, Brendan Hines, Hayley McFarland, Mekhi Phifer";"                                            Dopo aver trascorso gran parte della sua vita studiando una scienza della quale ancora oggi non tutti si fidano - le microespressioni umane attraverso le quali capire quando una persona sta mentendo - finendo così per trascurare la sua famiglia, il Dr. Cal Lightman fonda una rinomata agenzia nella quale un gruppo di esperti aiuta gli enti pubblici, la polizia e l'FBI nella zona di Washington a scoprire quando un indiziato non sta affermando la verità."
"NCIS: Los Angeles ";"3.88";"2009";" Drammatico";" USA";" 42 Min";" CBS Television Studios";" In Lavorazione";" LL Cool J, Chris O'Donnell, Linda Hunt, Daniela Ruah, Barrett Foa, Eric Christian Olsen, Renée Felice Smith, Nia Long, Miguel Ferrer";"                                            La coraggiosa e irriducibile squadra della Progetti Speciali di Los Angeles, una divisione sottocopertura della NCIS, si prodiga nel tentativo di risolvere alcuni dei crimini più efferati e insoliti i quali si sono compiuti tra ranghi militari. A rappresentare la squadra ci sono gli agenti G. Callen - il cui passato è un grosso punto interrogativo anche per lui - e Sam Hanna - esperto di cultura meridionale."
"How I Met Your Mother ";"3.94";"2005";" Commedia";" USA";" 22 Min";" 20th Century Fox Television";" Conclusa";" Josh Radnor, Alyson Hannigan, Jason Segel, Neil Patrick Harris, Cobie Smulders, Cristin Milioti";"                                            Ted Mosby, il quale si trova venticinque anni nel futuro, racconta ai figli gli eventi che l’hanno portato a incontrare la loro madre. Tutto inizia quando il migliore amico di Ted, Marshall, dice di aver intenzione di chiedere la mano alla ragazza cui è legato da moltissimo tempo, Lily, un'insegnate d'asilo. In quel momento Ted comprende che è arrivato il momento per lui di darsi una mossa e trovare anch'esso il vero amore."
